Rank	score	Perturbation	Perturbation LIFE URL	Perturbation PubChem URL	Perturbation DrugBank URL	Cell-line	Dose	Time	Signature URL
1	0.1617	phorbol-12-myristate-13-acetate (PMA)	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A15079084	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=4792	None	SW948	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_SW948_6H:BRD-A15079084:10.0
2	0.1557	AS-605240	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K41895714	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=10377751	None	MCF10A	10um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_MCF10A_24H:BRD-K41895714:10
3	0.1437	BX-795	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K47983010	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=10077147	None	PC3	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_PC3_24H:BRD-K47983010:10.0
4	0.1437	PAC 1	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K92991072	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6851947	None	PC3	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_PC3_24H:BRD-K92991072:10.0
5	0.1377	PD-184352	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K05104363	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6918454	None	MCF10A	3.33um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP005_MCF10A_24H:BRD-K05104363:3.33
6	0.1377	radicicol	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A39996500	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5311380	None	MCF10A	0.12um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_MCF10A_24H:BRD-A39996500:0.12
7	0.1317	Ingenol 3, 20-dibenzoate	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A52650764	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5225086	None	CL34	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_CL34_6H:BRD-A52650764:10.0
8	0.1317	linifanib	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K99749624	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=11485656	None	HA1E	10um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_HA1E_24H:BRD-K99749624:10
9	0.1317	selumetinib	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K57080016	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=10127622	None	MCF10A	1.11um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_MCF10A_24H:BRD-K57080016:1.11
10	0.1317	saracatinib	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K19540840	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=10302451	None	MCF10A	10um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_MCF10A_24H:BRD-K19540840:10
