Term	Overlap	P-value	Adjusted P-value	Z-score	Combined Score	Genes
SOX2_20726797_ChIP-Seq_SW620_Human	97/2564	0.0000000000000000000000000000000000000000000000000000000000000011053341864985220887029931262972329866199560293347688046868841366257331612396223159189254454894571797936136001103232421627081635042357489484313727373433427591913058574135675371508114039897918701171875	0.0000000000000000000000000000000000000000000000000000000000004089736490044531590562138220482050833398854495157276412680215497311978122771328513088092285409810328815469483818602385193297707698912007532086689663036217778913083975567133165895938873291015625	-1.635155434433088	227.36707160181788	FOXA1;EHF;STEAP4;GOLT1A;WWC1;RASEF;CBLC;SPINT2;F11R;CXCL16;KRTCAP3;BAIAP2L1;FAM110C;PRSS8;KRT7;OVOL1;SULT2B1;C1ORF116;CLDN4;CLDN3;SPINT1;SCNN1A;CLDN7;ELMO3;EPHA1;DSC2;CDS1;TACSTD2;PPL;FAM83H;GPR110;TMEM125;EPB41L1;KIAA1522;MYO6;MYH14;STAP2;C19ORF33;S100A14;TSPAN1;AP1M2;FAM83B;PROM2;ST14;JUP;GRTP1;ANKRD22;STARD10;CGN;SSH3;BSPRY;GJB3;MYO5B;LCN2;MANSC1;SERINC2;TMEM45B;C1ORF210;LRRC1;ANXA9;DSP;FGFBP1;PLEKHG6;COBL;LSR;TMC5;TMC4;SERPINB5;EPN3;ELF3;VWA1;IRF6;SMPDL3B;TMPRSS4;PRRG4;SCEL;RAB25;P2RY2;ERBB2;AGR2;PAK6;EPS8L1;MAL2;EPS8L2;TMEM30B;GALNT3;STYK1;PLEKHA6;GRHL1;TPD52L1;GRHL2;SH3YL1;TMEM54;S100P;KCNK1;FRK;TJP3
SMAD3_18955504_ChIP-ChIP_HaCaT_Human	66/1936	0.0000000000000000000000000000000000000066511757620372696240726676375145474671062046876960521644316725922967612056018263880241833375139598634462334558747897972352802753448486328125	0.0000000000000000000000000000000000008203116773179298141573429958507952197889810675760061942076343551280780384837389122154844995076124203325917960683000274002552032470703125	-1.7151944579363247	142.51745299400517	FOXA1;TMEM45B;LAD1;EHF;TINAGL1;WWC1;RASEF;LAMC2;F11R;PRSS22;BAIAP2L1;PPP1R13L;AIM1L;SLC12A8;DSP;ZNF165;ARRDC1;SH2D3A;ANXA3;KRT7;OVOL1;RHOD;SERPINB5;ITPKC;C1ORF116;CLDN4;CLDN3;C19ORF21;SCNN1A;CLDN7;B3GNT3;PRR15;DSG2;IRF6;ARHGEF5;DSC2;LAMA5;TMPRSS4;TACSTD2;LYPD3;PRRG4;GPR110;KLC3;P2RY2;PERP;AGR2;PAK6;EPS8L1;MAL2;SFN;MPZL2;JUP;GPR56;GRHL3;CGN;GRHL2;BSPRY;EFNA1;TSPAN15;KRT19;MYO5B;F2RL1;S100P;KCNK1;SERINC2;FRK
SMAD2_18955504_ChIP-ChIP_HaCaT_Human	66/1936	0.0000000000000000000000000000000000000066511757620372696240726676375145474671062046876960521644316725922967612056018263880241833375139598634462334558747897972352802753448486328125	0.0000000000000000000000000000000000008203116773179298141573429958507952197889810675760061942076343551280780384837389122154844995076124203325917960683000274002552032470703125	-1.7046114018441385	141.63809485932126	FOXA1;TMEM45B;LAD1;EHF;TINAGL1;WWC1;RASEF;LAMC2;F11R;PRSS22;BAIAP2L1;PPP1R13L;AIM1L;SLC12A8;DSP;ZNF165;ARRDC1;SH2D3A;ANXA3;KRT7;OVOL1;RHOD;SERPINB5;ITPKC;C1ORF116;CLDN4;CLDN3;C19ORF21;SCNN1A;CLDN7;B3GNT3;PRR15;DSG2;IRF6;ARHGEF5;DSC2;LAMA5;TMPRSS4;TACSTD2;LYPD3;PRRG4;GPR110;KLC3;P2RY2;PERP;AGR2;PAK6;EPS8L1;MAL2;SFN;MPZL2;JUP;GPR56;GRHL3;CGN;GRHL2;BSPRY;EFNA1;TSPAN15;KRT19;MYO5B;F2RL1;S100P;KCNK1;SERINC2;FRK
TFAP2C_20629094_ChIP-Seq_MCF7_Human	48/1203	0.00000000000000000000000000000078958126255427362484838667121380225846278183635763625268928590871665284939748242175328041270176981925033032894134521484375	0.000000000000000000000000000041735009592154462277004832447291831381034763159305703027721929169746772884008918780285313232525368221104145050048828125	-1.6737752386944402	109.37487234911619	FOXA1;LAMA5;TINAGL1;ITGB4;TMPRSS4;LYPD3;PRKCZ;IGSF9;EPB41L4B;FAM83F;BAIAP2L1;CDH3;S100A16;KIAA1522;MAL2;RHPN2;TSPAN1;CNNM4;PROM2;PLS1;DSP;PLEKHG3;JUP;ATP8B1;STARD10;TNK1;C2ORF55;PLEKHA6;KRT7;TPD52L1;ADAP1;HDHD3;RHOD;TTC39A;PLEKHA7;OVOL2;TSPAN15;CLDN4;ELF3;FXYD3;PRR15L;ESRP2;ESRP1;MYO5C;S100P;PVRL4;CYB561;LLGL2
KLF5_25053715_ChIP-Seq_YYC3_Human	59/2000	0.0000000000000000000000000000002781637565065483462291078692188592651352708788024040426401871621825991525844219199627149752274135607876814901828765869140625	0.0000000000000000000000000000171534316512371487035140250941880123230843126785030219021064507116377943321040323854109743706430890597403049468994140625	-1.5296436713000343	101.31649088833929	EHF;STEAP4;ITGB4;GOLT1A;WWC1;RASEF;CBLC;LAMC2;CDH1;PRSS8;SH2D3A;USP43;PLEKHG6;C2ORF55;ARHGEF16;OVOL2;ITPKC;C1ORF116;C6ORF132;C19ORF21;SLPI;ELF3;ESRP2;CLDN7;B3GNT3;PRR15;DSG2;CD46;LLGL2;LAMA5;RBM47;SDC4;PRKCZ;PPL;EVPL;FUT1;IGSF9;FAM83H;SCEL;MUC1;RAB20;S100A16;P2RY2;KIAA1522;MYH14;SFN;EPS8L2;C19ORF33;RHPN2;ST14;JUP;FHDC1;GRHL2;MAPK13;TSPAN15;FA2H;SH3YL1;FXYD3;TJP3
GATA6_25053715_ChIP-Seq_YYC3_Human	61/2000	0.0000000000000000000000000000000035600099065777121213579644064326749851595351565373826342521177241540825312845708352734765134162131516859517432749271392822265625	0.0000000000000000000000000000002634407330867507010858559607776304613736696151284424807947991194287569073845942297686095745490320041426457464694976806640625	-1.4051611869986615	98.93947832050556	FOXA1;TMEM45B;LAD1;SLC44A3;EHF;TINAGL1;RASEF;LAMC2;F11R;C1ORF210;PPP1R13L;LIPH;SLC12A8;PLEKHG3;USP43;ARHGEF16;COBL;TMC5;RHOD;EPN3;SULT2B1;ITPKC;CLDN4;SPINT1;C19ORF21;ELF3;ESRP2;SCNN1A;CLDN7;B3GNT3;PKP3;CD46;CDS1;RBM47;SDC4;PPAP2C;MST1R;EVPL;FUT1;IGSF9;SCEL;MUC1;GPR110;TMEM125;S100A16;MYO6;SFN;C19ORF33;JUP;ATP8B1;STYK1;PLEKHA6;CGN;INADL;GRHL2;PLEKHA7;MAPK13;EFNA1;KRT19;KLF5;HOOK2
SMAD4_19686287_ChIP-ChIP_HaCaT_Human	23/405	0.000000000000000003092316399765786610432531262010781688659039612358087577292931058536851196549832820892333984375	0.0000000000000000602187930480705835099869151554415426100303704933132398213757596749928779900074005126953125	-2.3552350023779445	87.96460563789994	TMEM45B;TINAGL1;ARRDC1;KRT7;GRHL3;LAMC2;F11R;EFNA1;TSPAN15;C1ORF116;KRT19;KLF5;BAIAP2L1;C19ORF21;PPP1R13L;MYO6;MAP7;PRR15;F2RL1;SFN;DSG2;KCNK1;DSC2
ZNF217_24962896_ChIP-Seq_MCF7_Human	46/1522	0.000000000000000000000001241147098136917814923623443368931954220437039301478908121123629552766398642660305995377711951732635498046875	0.00000000000000000000003826870219255496831725612422564983196327371928765281820970464189690662948351018712855875492095947265625	-1.6270549296274663	83.98436114269578	FOXA1;EHF;SDC4;WWC1;TMPRSS4;RASEF;ATP2C2;PPL;EPB41L4B;GPR110;CDH1;LIPH;PERP;P2RY2;AGR2;MAL2;ITGB6;RHPN2;ANXA9;FAM83B;DSP;TMEM184A;PLEKHG6;PLEKHA6;SHROOM3;COBL;KRT7;TPD52L1;GRHL1;GRHL2;PLEKHA7;MPP7;OVOL2;SULT2B1;EFNA1;TSPAN15;CLDN4;KLF5;ELF3;ESRP1;MYO5C;PRR15;KCNK1;CYB561;PTPN3;LLGL2
FOXO3_23340844_ChIP-Seq_DLD1_Human	29/695	0.00000000000000000029276959046262859769390861191833367407388824286293090883026568604918793425895273685455322265625	0.000000000000000007221649898078171498670762444481474710362527215140766856382725791263510473072528839111328125	-2.0088702360715605	79.28899978211848	DDR1;TMEM45B;GRB7;EHF;RBM47;KIAA1671;LRRC1;GPR110;FAM83F;CDH3;PERP;RNF39;MAP7;EPS8L2;RHPN2;PLEKHG3;STARD10;GRHL3;FHDC1;TPD52L1;EFNA1;TSPAN15;CLDN4;SPINT1;ELF3;SCNN1A;F2RL1;S100P;PTPN3
GATA4_25053715_ChIP-Seq_YYC3_Human	54/2000	0.000000000000000000000000010058912773912803490140689511858377639505751490797990759519007984601111048428290217771063908003270626068115234375	0.0000000000000000000000003721797726347737434845017866248867789207037380482668424120855802457626115842259650889900512993335723876953125	-1.396634523560653	78.56127925399699	TMEM45B;LAD1;SLC44A3;TINAGL1;PWWP2B;WWC1;RASEF;CBLC;LAMC2;SPINT2;F11R;LRRC1;PPP1R13L;CDH1;LIPH;PRSS8;SLC12A8;PLEKHG3;FGFBP1;ANXA3;PLEKHG6;LSR;TC2N;RHOD;SULT2B1;C1ORF116;C6ORF132;CLDN4;ELF3;ESRP2;SCNN1A;GRB7;SDC4;EVPL;FAM83F;MUC1;GPR110;S100A16;PERP;MAL2;FAM83B;JUP;GPR56;STARD10;FHDC1;INADL;PLEKHA7;EFNA1;TSPAN15;KRT19;KLF5;MANSC1;RAB17;PTPN3
