Term	Overlap	P-value	Adjusted P-value	Z-score	Combined Score	Genes
cell junction organization (GO:0034330)	19/189	0.000000000002199814123884066763429879591879479057425772481337844510562717914581298828125	0.000000003273323416339491240586084263588205478523462943485355935990810394287109375	-2.2846868889835528	44.636978781170825	DSP;LAMA5;JUP;ITGB4;LAMC2;F11R;INADL;RHOD;MPP7;PLEKHA7;CAMSAP3;CDH3;MARVELD2;CDH1;PERP;MARVELD3;PKP3;PVRL4;CRB3
cell-cell junction organization (GO:0045216)	17/161	0.000000000016573168933350782827253500120633848517737174432795654865913093090057373046875	0.0000000123304376864129818547899329595450568231029819799005053937435150146484375	-2.253324160023663	41.03572572759468	DSP;LAMA5;JUP;F11R;INADL;RHOD;MPP7;PLEKHA7;CAMSAP3;CDH3;MARVELD2;CDH1;PERP;MARVELD3;PKP3;PVRL4;CRB3
cell junction assembly (GO:0034329)	15/160	0.0000000012512087560268901370019059861023007218516767125038313679397106170654296875	0.000000620599542989337517879112719743073256495335954241454601287841796875	-2.256558676070214	32.2520449992567	LAMA5;JUP;ITGB4;LAMC2;F11R;INADL;RHOD;MPP7;CDH3;MARVELD2;CDH1;MARVELD3;PKP3;PVRL4;CRB3
tight junction assembly (GO:0070830)	7/39	0.000000763397350918258983955267359122753845213082968257367610931396484375	0.0002271870516332738878552410799471772406832315027713775634765625	-2.2057997787781347	18.50607971815929	MARVELD2;CDH1;MARVELD3;F11R;INADL;MPP7;CRB3
cell-cell junction assembly (GO:0007043)	9/77	0.0000005255894282465728523600322075193247428614995442330837249755859375	0.00019551926730772509091353661414558473552460782229900360107421875	-2.142649764949021	18.297911086414725	MARVELD2;JUP;CDH1;MARVELD3;PKP3;F11R;INADL;MPP7;CRB3
epithelial cell differentiation (GO:0030855)	15/303	0.00000321285780529392881357917018114722651489501004107296466827392578125	0.000597591551784670761866824495456285148975439369678497314453125	-2.385011237742868	17.702991714152375	FOXA1;DSP;LAMA5;EHF;ST14;F11R;OVOL1;EVPL;SCEL;FA2H;MUC1;ELF3;MYO6;AGR2;IRF6
single organism cell adhesion (GO:0098602)	14/259	0.00000263775676803900063167114715956262926965791848488152027130126953125	0.00056071172440600477830663361800134225632064044475555419921875	-2.3249591093492312	17.40534985422016	DSP;LAMA5;JUP;PLEKHA7;CAMSAP3;EFNA1;CDH3;CDH1;PERP;ANXA9;PKP3;EPHA1;DSC2;MPZL2
regulation of cell projection assembly (GO:0060491)	10/120	0.00000213881435627699094194939348489992170243567670695483684539794921875	0.000530425960356693750215317795237979225930757820606231689453125	-2.2995086065416217	17.342503397464682	SH3YL1;KLF5;ATP8B1;FAM110C;TACSTD2;EPS8L1;F2RL1;EPS8L2;RAB17;SSH3
epidermal cell differentiation (GO:0009913)	8/76	0.000004703920589402804840130530028563526911966619081795215606689453125	0.000777714870781263706463193319251558932592160999774932861328125	-2.1819949457525976	15.621230405352364	DSP;SCEL;FA2H;ST14;MYO6;IRF6;OVOL1;EVPL
bundle of His cell to Purkinje myocyte communication (GO:0086069)	4/8	0.0000072441446426186302675492324765205154335490078665316104888916015625	0.00097993520256513841175383117132469124044291675090789794921875	-2.248754491054963	15.579425327715269	DSP;JUP;DSG2;DSC2
regulation of Rho GTPase activity (GO:0032319)	11/174	0.00000808820495279548938561374471500897698206244967877864837646484375	0.00100293741414664056184335994004186431993730366230010986328125	-2.205701127183439	15.229974044708182	PLEKHG3;ALS2CL;ARHGEF16;ERBB2;PLEKHG6;EPS8L1;EPS8L2;GRHL3;EPHA1;ARHGEF5;PROM2
positive regulation of Rho GTPase activity (GO:0032321)	10/149	0.0000129346867625869320589208910643463923406670801341533660888671875	0.0014805241463637965060318180121612385846674442291259765625	-2.1861027396453077	14.243244380370616	PLEKHG3;ALS2CL;ARHGEF16;ERBB2;PLEKHG6;EPS8L1;EPS8L2;GRHL3;EPHA1;ARHGEF5
desmosome organization (GO:0002934)	4/8	0.0000072441446426186302675492324765205154335490078665316104888916015625	0.00097993520256513841175383117132469124044291675090789794921875	-2.0304211326738435	14.066806557201023	DSP;JUP;PERP;PKP3
regulation of ruffle assembly (GO:1900027)	4/15	0.0000533249076171842084745540468748714602043037302792072296142578125	0.004667497796139417898242385263074538670480251312255859375	-2.565142441231271	13.76745847776939	SH3YL1;TACSTD2;EPS8L1;EPS8L2
regulation of cell adhesion (GO:0030155)	14/336	0.0000435871837417000721208622249225328459942829795181751251220703125	0.00432384862717664734954592375970605644397437572479248046875	-2.4262862105034073	13.207754392037176	FOXA1;DDR1;LAMA5;SDC4;GPR56;TACSTD2;RHOD;PRKCZ;EFNA1;ERBB3;EPCAM;CDH1;ERBB2;EPHA1
adherens junction organization (GO:0034332)	7/69	0.0000234757950462196227320137154048751426671515218913555145263671875	0.0024951416449124860265362801925448366091586649417877197265625	-2.075993168729743	12.442277760433242	DSP;LAMA5;CDH3;JUP;CDH1;PVRL4;RHOD
epithelial cell development (GO:0002064)	8/107	0.0000474806733475063665506250842884838903046329505741596221923828125	0.004415702621318092109536923572932209935970604419708251953125	-2.2226525222127886	12.052529591837658	KLF5;MARVELD2;CDH1;MAP7;SHROOM3;F2RL1;SFN;EXPH5
regulation of heart rate by cardiac conduction (GO:0086091)	4/21	0.00016507595308591716865877219166947043049731291830539703369140625	0.0122816509095922364591668696220949641428887844085693359375	-2.669011994935326	11.742715758085579	DSP;JUP;DSG2;DSC2
ventricular cardiac muscle cell action potential (GO:0086005)	4/19	0.00011760554901209580480787864065206349550862796604633331298828125	0.00921037141736834492899976822855023783631622791290283203125	-2.438565773406672	11.43059441892341	DSP;JUP;DSG2;DSC2
cell communication involved in cardiac conduction (GO:0086065)	4/23	0.0002250243629235170231793483619497919789864681661128997802734375	0.015944583430009207081212707635131664574146270751953125	-2.649606445095568	10.96575689583725	DSP;JUP;DSG2;DSC2
single organismal cell-cell adhesion (GO:0016337)	11/235	0.000111156077175657321529957111128084079609834589064121246337890625	0.0091889023798543377485881222810348845086991786956787109375	-2.2847844939493065	10.715088154860558	DSP;CAMSAP3;CDH3;JUP;CDH1;PERP;ANXA9;PKP3;DSC2;PLEKHA7;MPZL2
cardiac conduction (GO:0061337)	4/26	0.0003422398123825973778426579041678223802591674029827117919921875	0.02121886836772103601678196582724922336637973785400390625	-2.5943496685810596	9.995677675852043	DSP;JUP;DSG2;DSC2
regulation of Ras GTPase activity (GO:0032318)	13/349	0.000239445357849645446175756990925265199621208012104034423828125	0.0161952132945578364253691461271955631673336029052734375	-2.345504262551952	9.670606853385364	PLEKHG3;GRTP1;ARHGEF16;PLEKHG6;GRHL3;ADAP1;ALS2CL;ERBB2;EPS8L1;EPS8L2;EPHA1;ARHGEF5;PROM2
Rho protein signal transduction (GO:0007266)	5/48	0.00032067883595599520375751811940290281199850142002105712890625	0.020746526430544386110366161801721318624913692474365234375	-2.1687611956394495	8.404766057304212	CNKSR1;GPR56;EPS8L1;EPS8L2;RHOD
cardiac muscle cell action potential involved in contraction (GO:0086002)	4/29	0.00049773279089789022704148901965481854858808219432830810546875	0.02793011398616797313909643207807675935328006744384765625	-2.346996473735101	8.397670305450351	DSP;JUP;DSG2;DSC2
multicellular organismal water homeostasis (GO:0050891)	4/32	0.000697885835943898714776867375775282198446802794933319091796875	0.0303570465049872451057666467022500000894069671630859375	-2.3788992892993215	8.313602657463107	CLDN4;CDH1;SCNN1A;SFN
cardiac muscle cell action potential (GO:0086001)	4/30	0.000559169074438421449639580185220211205887608230113983154296875	0.0286911580263576222737942345020201173610985279083251953125	-2.308967839425488	8.199528747724466	DSP;JUP;DSG2;DSC2
regulation of cell projection organization (GO:0031344)	13/391	0.000678955203794629901133117488853940812987275421619415283203125	0.0303570465049872451057666467022500000894069671630859375	-2.3276733440764463	8.134581983384303	ATP8B1;TACSTD2;COBL;SSH3;EFNA1;SH3YL1;KLF5;FAM110C;EPS8L1;F2RL1;EPS8L2;RAB17;PROM2
regulation of Rho protein signal transduction (GO:0035023)	4/31	0.000625806436341403457372656315982339947368018329143524169921875	0.030038708944387364219164027190345223061740398406982421875	-2.302905445573716	8.072301757701176	GPR56;EPS8L1;F2RL1;EPS8L2
positive regulation of Ras GTPase activity (GO:0032320)	11/292	0.0006624284107281139082068488477261780644766986370086669921875	0.0303570465049872451057666467022500000894069671630859375	-2.297871816154555	8.03043379062879	PLEKHG3;ALS2CL;GRTP1;ARHGEF16;ERBB2;PLEKHG6;EPS8L1;EPS8L2;GRHL3;EPHA1;ARHGEF5
peptidyl-tyrosine phosphorylation (GO:0018108)	8/152	0.000466601865808952283830313145784884909517131745815277099609375	0.02777214305294883889274615285103209316730499267578125	-2.1806489245613783	7.8148391089995455	DDR1;ERBB3;STYK1;ERBB2;TNK1;MST1R;EPHA1;FRK
peptidyl-tyrosine modification (GO:0018212)	8/154	0.000506796423136112415830378807868328294716775417327880859375	0.02793011398616797313909643207807675935328006744384765625	-2.178275961290612	7.793979906623035	DDR1;ERBB3;STYK1;ERBB2;TNK1;MST1R;EPHA1;FRK
epithelial cell-cell adhesion (GO:0090136)	3/14	0.0008569851960201772984870860483397336793132126331329345703125	0.033557736096790101443243514722780673764646053314208984375	-2.2843624949875707	7.754240752592399	CAMSAP3;JUP;PLEKHA7
sensory perception of sound (GO:0007605)	7/124	0.000714043432576984900446437354304407563176937401294708251953125	0.0303570465049872451057666467022500000894069671630859375	-2.1693511371273706	7.5812891532305136	MARVELD2;CDH1;ATP8B1;GJB3;MYO6;SLC52A3;MYH14
sensory perception of mechanical stimulus (GO:0050954)	7/127	0.00081648775549998491019021429337954032234847545623779296875	0.03329482736529716657702948623409611172974109649658203125	-2.178734619986019	7.412824768216527	MARVELD2;CDH1;ATP8B1;GJB3;MYO6;SLC52A3;MYH14
extracellular matrix organization (GO:0030198)	12/359	0.0010438409836672278389879675586371376994065940380096435546875	0.039738988152643532625329925167534383945167064666748046875	-2.2854432605718626	7.371520123960764	DDR1;LAMA5;ELF3;SPINT1;SDC4;ITGB4;CDH1;VWA1;LAMC2;ITGB6;F11R;SERPINB5
