Term	Overlap	P-value	Adjusted P-value	Z-score	Combined Score	Genes
cell-cell junction (GO:0005911)	26/335	0.000000000000010704717187711407861959086741266536996753625139711108005258211051113903522491455078125	0.000000000000990186339863305245375016343650426196669467326927360772970132529735565185546875	-2.327497196535985	64.33407826812397	F11R;PRKCZ;CDH3;MARVELD2;CDH1;EPCAM;MARVELD3;DSP;JUP;STARD10;SHROOM3;CGN;INADL;MPP7;PLEKHA7;CAMSAP3;CNKSR1;CLDN4;CLDN3;GJB3;CLDN7;DSG2;PKP3;TJP3;DSC2;CRB3
extracellular vesicular exosome (GO:0070062)	72/2717	0.0000000000000060760005899094995276074805705372177863147456662595846665908538852818310260772705078125	0.000000000000990186339863305245375016343650426196669467326927360772970132529735565185546875	-2.243432676302152	62.01046067909111	DDR1;STEAP4;TINAGL1;ITGB4;CBLC;F11R;BAIAP2L1;CDH1;ANXA9;PRSS8;ITGB6;PLS1;DSP;GSTO2;ARRDC1;ANXA3;KRT7;LSR;TMC5;TMC4;SERPINB5;EPN3;SULT2B1;CLDN3;SLPI;SPINT1;SCNN1A;CHMP4C;VWA1;DSG2;IRF6;CD46;SMPDL3B;DSC2;LAMA5;SDC4;TACSTD2;PRKCZ;PPL;EVPL;SCEL;MUC1;RAB25;EPCAM;S100A16;MYO6;EPS8L1;MYH14;MAL2;EPS8L2;SFN;S100A14;TSPAN1;PROM2;ST14;JUP;GPR56;INADL;PLEKHA7;EFNA1;TSPAN15;KRT19;FXYD3;MYO5B;MYO5C;LCN2;S100P;RAB17;PVRL4;SERINC2;FRK;CRB3
plasma membrane region (GO:0098590)	22/395	0.00000000063304467394277783184843220085059010970862658496116637252271175384521484375	0.000000023422652935882781536150793106655643160962654292234219610691070556640625	-2.2690404150152106	39.866046725621885	DSP;ST14;JUP;ATP8B1;ITGB4;TACSTD2;SHROOM3;PRKCZ;MUC1;CLDN4;MARVELD2;ERBB3;CDH1;EPCAM;ERBB2;SCNN1A;CLDN7;DSG2;RAB17;CD46;KCNK1;TJP3
occluding junction (GO:0070160)	13/108	0.000000000546377503540819774584270986377172729664408734606695361435413360595703125	0.000000023422652935882781536150793106655643160962654292234219610691070556640625	-2.1243722749023823	37.32429083829532	CGN;F11R;INADL;PRKCZ;MPP7;CLDN4;CLDN3;MARVELD2;EPCAM;MARVELD3;CLDN7;TJP3;CRB3
tight junction (GO:0005923)	13/108	0.000000000546377503540819774584270986377172729664408734606695361435413360595703125	0.000000023422652935882781536150793106655643160962654292234219610691070556640625	-2.103830278008583	36.96337694597918	CGN;F11R;INADL;PRKCZ;MPP7;CLDN4;CLDN3;MARVELD2;EPCAM;MARVELD3;CLDN7;TJP3;CRB3
lateral plasma membrane (GO:0016328)	9/46	0.000000006289960128639981505101145945781093704596287352615036070346832275390625	0.0000001939404372997327713457581255251938046058057807385921478271484375	-2.1304317513809483	32.92734544209511	CLDN4;CLDN3;JUP;ERBB3;CDH1;EPCAM;CLDN7;TACSTD2;DSG2
apical plasma membrane (GO:0016324)	14/201	0.0000000783478260266657340281417081125081569581425355863757431507110595703125	0.000002070621116419023036918194147215643852177890948951244354248046875	-2.1383653131463465	27.98620232151363	ATP8B1;SHROOM3;PRKCZ;MUC1;CLDN4;ERBB3;MARVELD2;EPCAM;ERBB2;SCNN1A;DSG2;RAB17;KCNK1;TJP3
basolateral plasma membrane (GO:0016323)	11/138	0.0000005933524590044933268251988074670766337703753379173576831817626953125	0.00001372127561447890827547695102861524674153770320117473602294921875	-2.039446023526852	22.834785816488417	DSP;ST14;ERBB3;JUP;MARVELD2;CDH1;EPCAM;ERBB2;CLDN7;RAB17;CD46
cell-cell adherens junction (GO:0005913)	7/47	0.00000167681800346679007473224380653231690985194290988147258758544921875	0.00003446792562681734819508838629786851015524007380008697509765625	-2.031618339099271	20.875856370665854	DSP;CAMSAP3;CDH3;JUP;CDH1;DSC2;PLEKHA7
desmosome (GO:0030057)	5/19	0.00000485463453424451234978313773904545769255491904914379119873046875	0.000089810738883523480165053942680941645448911003768444061279296875	-2.093325945518105	19.50520506165602	DSP;JUP;DSG2;PKP3;DSC2
anchoring junction (GO:0070161)	14/419	0.0002385588705839088792710900310822808023658581078052520751953125	0.0038562579221696233026939193422322205151431262493133544921875	-2.1778643491610525	12.104696403487392	DSP;GRB7;JUP;SDC4;SHROOM3;MPP7;PLEKHA7;CAMSAP3;CDH3;CDH1;DSG2;PKP3;CD46;DSC2
ruffle membrane (GO:0032587)	5/49	0.0002787238646486171170409129604905729138408787548542022705078125	0.003966454996922628116473585890844333334825932979583740234375	-1.97568328348752	10.925296476298321	SH3YL1;WWC1;MYO6;EPS8L1;EPS8L2
perinuclear region of cytoplasm (GO:0048471)	13/411	0.00066011613755243545888229395046664649271406233310699462890625	0.008141432363146704209722059886189526878297328948974609375	-2.1065370752262282	10.134105702325632	GALNT3;WWC1;COBL;LAMC2;TPD52L1;PRKCZ;INADL;BSPRY;EPN3;CDH1;MYO6;S100A14;TSPAN1
integral component of plasma membrane (GO:0005887)	24/1066	0.00057551024371537361744299854393602799973450601100921630859375	0.007604956791953151017116052656774627394042909145355224609375	-1.9591238213350808	9.558477031935638	DDR1;ST14;GPR56;SDC4;ATP8B1;SLC52A3;TACSTD2;MST1R;FUT1;EFNA1;MUC1;CLDN4;CLDN3;ERBB3;FXYD3;PRRG2;P2RY2;PERP;SCNN1A;B3GNT3;F2RL1;CD46;EPHA1;PROM2
microvillus (GO:0005902)	5/61	0.00071038778906009941889465597597563828458078205585479736328125	0.00821385881100739935478660669332384713925421237945556640625	-1.808531864870912	8.684447853156687	FOXA1;ATP8B1;STARD10;MYO6;PROM2
cell projection membrane (GO:0031253)	8/196	0.00163286841804600210519005099030209748889319598674774169921875	0.01678225874102835801782163116513402201235294342041015625	-2.0364242541709654	8.323747653457941	SH3YL1;ATP8B1;WWC1;SCNN1A;MYO6;EPS8L1;EPS8L2;KCNK1
myosin complex (GO:0016459)	5/64	0.000870614273535837992178121336195317780948244035243988037109375	0.00947433180024294385734862089520902372896671295166015625	-1.7819957764370715	8.302619573978154	MYO5B;MYO5C;MYO6;MYH14;CGN
adherens junction (GO:0005912)	12/405	0.00182372056066928771821122889917887732735835015773773193359375	0.01775727914335885337937526173845981247723102569580078125	-2.013948011268537	8.118143381163565	DSP;CAMSAP3;GRB7;CDH3;JUP;SDC4;CDH1;SHROOM3;CD46;MPP7;PLEKHA7;DSC2
cell surface (GO:0009986)	12/437	0.003344414200976141525456508674096767208538949489593505859375	0.026900722920895049627976192141431965865194797515869140625	-1.899474368001386	6.8677435487025384	TSPAN15;MUC1;FGFBP1;SDC4;ITGB4;CDH1;EPCAM;DSG2;ANXA9;MST1R;CD46;PROM2
cell cortex (GO:0005938)	5/83	0.0025789263288530420679955934559757224633358418941497802734375	0.0233229041734643038896734879017458297312259674072265625	-1.8111245106098686	6.806784365048136	CNKSR1;FAM110C;MYO6;COBL;LAMC2
apical part of cell (GO:0045177)	5/87	0.003128536724543294622602473964434466324746608734130859375	0.026308149729114070625168864125953405164182186126708984375	-1.761660749798184	6.408704264099508	EPB41L4B;CDH1;MYO6;INADL;CRB3
leading edge membrane (GO:0031256)	5/95	0.00447359481071996946399682570927325286902487277984619140625	0.033104601599327772298853034271814976818859577178955078125	-1.7523548272370342	5.97217067062385	SH3YL1;WWC1;MYO6;EPS8L1;EPS8L2
basal plasma membrane (GO:0009925)	3/26	0.003634170738495714168825312384569770074449479579925537109375	0.0280133994425711303766224347100433078594505786895751953125	-1.412708507365664	5.050535097519015	CLDN4;ITGB4;TACSTD2
cornified envelope (GO:0001533)	3/23	0.0026474647980689208250082433693251005024649202823638916015625	0.0233229041734643038896734879017458297312259674072265625	-1.3046019707170624	4.9031108821434	DSP;SCEL;EVPL
